id_race,dogTrack,date,title,distance,finished,canceled
79039,Crayford,2022-03-02 10:53:00,Race 1,380m,1,0
79040,Crayford,2022-03-02 11:09:00,Race 2,380m,1,0
79041,Crayford,2022-03-02 11:24:00,Race 3,380m,1,0
79042,Crayford,2022-03-02 11:39:00,Race 4,380m,1,0
79043,Crayford,2022-03-02 11:54:00,Race 5,380m,1,0
79044,Crayford,2022-03-02 12:09:00,Race 6,380m,1,0
79045,Crayford,2022-03-02 12:24:00,Race 7,380m,1,0
79046,Crayford,2022-03-02 12:39:00,Race 8,380m,1,0
79047,Crayford,2022-03-02 12:54:00,Race 9,540m,1,0
79048,Crayford,2022-03-02 13:09:00,Race 10,380m,1,0
79049,Crayford,2022-03-02 13:24:00,Race 11,380m,1,0
79050,Crayford,2022-03-02 13:39:00,Race 12,380m,1,0
79079,Doncaster,2022-03-02 18:09:00,Race 1,450m,1,0
79080,Doncaster,2022-03-02 18:28:00,Race 2,450m,1,0
79081,Doncaster,2022-03-02 18:43:00,Race 3,450m,1,0
79082,Doncaster,2022-03-02 18:58:00,Race 4,450m,1,0
79083,Doncaster,2022-03-02 19:18:00,Race 5,450m,1,0
79084,Doncaster,2022-03-02 19:36:00,Race 6,450m,1,0
79085,Doncaster,2022-03-02 19:56:00,Race 7,450m,1,0
79086,Doncaster,2022-03-02 20:17:00,Race 8,275m,1,0
79087,Doncaster,2022-03-02 20:38:00,Race 9,275m,1,0
79088,Doncaster,2022-03-02 20:54:00,Race 10,483m,0,0
79089,Doncaster,2022-03-02 21:12:00,Race 11,483m,0,0
79090,Doncaster,2022-03-02 21:28:00,Race 12,483m,0,0
79027,Harlow,2022-03-02 10:46:00,Race 1,238m,1,0
79028,Harlow,2022-03-02 11:01:00,Race 2,415m,1,0
79029,Harlow,2022-03-02 11:16:00,Race 3,238m,1,0
79030,Harlow,2022-03-02 11:31:00,Race 4,415m,1,0
79031,Harlow,2022-03-02 11:46:00,Race 5,415m,1,0
79032,Harlow,2022-03-02 12:01:00,Race 6,238m,1,0
79033,Harlow,2022-03-02 12:16:00,Race 7,415m,1,0
79034,Harlow,2022-03-02 12:31:00,Race 8,238m,1,0
79035,Harlow,2022-03-02 12:46:00,Race 9,415m,1,0
79036,Harlow,2022-03-02 13:02:00,Race 10,415m,1,0
79037,Harlow,2022-03-02 13:17:00,Race 11,238m,1,0
79038,Harlow,2022-03-02 13:33:00,Race 12,415m,1,0
79091,Harlow,2022-03-02 18:17:00,Race 1,238m,1,0
79092,Harlow,2022-03-02 18:33:00,Race 2,415m,1,0
79093,Harlow,2022-03-02 18:48:00,Race 3,592m,1,0
79094,Harlow,2022-03-02 19:07:00,Race 4,415m,1,0
79095,Harlow,2022-03-02 19:24:00,Race 5,238m,1,0
79096,Harlow,2022-03-02 19:44:00,Race 6,415m,1,0
79097,Harlow,2022-03-02 20:03:00,Race 7,592m,1,0
79098,Harlow,2022-03-02 20:23:00,Race 8,415m,1,0
