greyhound,id_greyhound,trainer,number,non_runner,form,position,distance_beaten,sp,odds,id_race,date
DROOPYS MATRIX,17154,J W Reynolds,6,0,TTT21,1,0.0,5.0,[],79324,2022-03-04 13:49
KEPLAR LUCY,9919,N F Carter,5,0,23443,2,0.245,4.33,[],79324,2022-03-04 13:49
DEANRIDGE BLUE,681,A Kelly-Pilgrim,4,0,T6131,3,0.105,3.5,[],79324,2022-03-04 13:49
LONG CAVANI,19545,J Turner,3,0,TTT64,4,0.665,3.75,[],79324,2022-03-04 13:49
BALLYMAC BURCRAN,11873,A Kelly-Pilgrim,2,0,TT633,5,0.2975,7.0,[],79324,2022-03-04 13:49
RARITY,1148,T Batchelor,1,0,44115,6,99.9,6.5,[],79324,2022-03-04 13:49
SLANAN NIAMH,17897,N F Carter,6,0,34122,1,0.0,5.0,[],79325,2022-03-04 14:07
WOODCOCKS ALYA,8836,N J Deas,5,0,43345,2,0.1575,4.33,[],79325,2022-03-04 14:07
WOODCOCKS ALIVIA,431,N J Deas,4,0,21231,3,0.2975,3.5,[],79325,2022-03-04 14:07
JIMMY THE MAN,13396,N F Carter,3,0,32663,4,0.0,3.75,[],79325,2022-03-04 14:07
AGHABURREN DOLLY,1190,N F Carter,2,0,16336,5,0.2625,7.0,[],79325,2022-03-04 14:07
MR SHARP,17475,J S Atkins,1,0,345T6,6,0.02,6.5,[],79325,2022-03-04 14:07
SPECIAL FINALE,19013,D W Lee,5,0,13244,1,0.0,5.0,[],79326,2022-03-04 14:23
MAYS DINGODOLLAR,8981,N J Deas,6,0,31335,2,0.4025,4.33,[],79326,2022-03-04 14:23
LIMERICK VIC,16602,M K Smith,4,0,41T41,3,0.0875,3.5,[],79326,2022-03-04 14:23
DANCE MATA,10411,J W Reynolds,2,0,54324,4,0.0,3.75,[],79326,2022-03-04 14:23
DOWER FANCY,14397,T Batchelor,3,0,35165,5,0.315,7.0,[],79326,2022-03-04 14:23
AYEISHA,358,K A Daly,1,0,14243,6,99.9,6.5,[],79326,2022-03-04 14:23
DELS TRIGGER,11593,G L Davidson,6,0,65412,1,0.0,5.0,[],79327,2022-03-04 14:42
STOPHERS SANDY,14908,G L Davidson,4,0,56515,2,0.0,4.33,[],79327,2022-03-04 14:42
BLAKES WAY,16400,J S Atkins,3,0,TTTTT,3,0.2975,3.5,[],79327,2022-03-04 14:42
SERENITY DAN,15065,N J Deas,1,0,64251,4,0.0,3.75,[],79327,2022-03-04 14:42
CASTLEJANE FOX,17914,N J Deas,2,0,36611,5,0.07,7.0,[],79327,2022-03-04 14:42
DISTANT FAIRY,14748,D Childs,5,0,36241,6,0.015,6.5,[],79327,2022-03-04 14:42
NAT ALLEY,16758,G L Davidson,5,0,12553,1,0.0,5.0,[],79328,2022-03-04 15:02
BALTOVIN CHRIS,11450,K A Daly,2,0,62532,2,0.07,4.33,[],79328,2022-03-04 15:02
SPECIAL AGENT,19016,D W Lee,6,0,54442,3,0.2625,3.5,[],79328,2022-03-04 15:02
BALLYMAC KALA,3167,D B Whitton,1,0,5TT65,4,0.2625,3.75,[],79328,2022-03-04 15:02
MOANING JENNER,19732,D B Whitton,3,0,TTT,5,0.07,7.0,[],79328,2022-03-04 15:02
DECE SUSHI,15363,D Childs,4,0,TT526,6,0.1925,6.5,[],79328,2022-03-04 15:02
SWIFT ODYSSEY,16276,J S Atkins,4,0,1T443,1,0.0,5.0,[],79329,2022-03-04 15:18
PITCH AND TOSS,12377,J W Reynolds,6,0,42225,2,0.14,4.33,[],79329,2022-03-04 15:18
LAMORNA TIGRESS,427,D W Lee,1,0,6331T,3,0.1225,3.5,[],79329,2022-03-04 15:18
SAIL ON MICHAELA,9335,N F Carter,3,0,3452T,4,0.0,3.75,[],79329,2022-03-04 15:18
BAYTOWN LUCKY,14308,D W Lee,5,0,42134,5,0.42,7.0,[],79329,2022-03-04 15:18
LEPPINLIZARD,17653,M K Smith,2,0,41221,6,0.015,6.5,[],79329,2022-03-04 15:18
BALLYMAC JOE,13474,J W Reynolds,6,0,22333,1,0.0,5.0,[],79330,2022-03-04 15:38
FINGER WAGGER,16965,T Batchelor,3,0,611T2,2,0.1925,4.33,[],79330,2022-03-04 15:38
EFFERNOGUE HELEN,15706,J W Reynolds,1,0,3TT64,3,0.1925,3.5,[],79330,2022-03-04 15:38
BLACKBOY RIVER,17146,M K Smith,5,0,13125,4,0.1225,3.75,[],79330,2022-03-04 15:38
RICHIES ALLSTAR,15025,G L Davidson,2,0,44343,5,0.07,7.0,[],79330,2022-03-04 15:38
EXPLOSIVE BLAKE,17634,G L Davidson,4,0,15232,6,0.245,6.5,[],79330,2022-03-04 15:38
SAOIRSES VOW,18195,K A Daly,3,0,16264,1,0.0,5.0,[],79331,2022-03-04 15:58
MOANING BABY,19734,D B Whitton,4,0,TTT,2,0.1575,4.33,[],79331,2022-03-04 15:58
GLASSMOSS BUD,16359,G L Davidson,6,0,25136,3,0.07,3.5,[],79331,2022-03-04 15:58
