id_race,dogTrack,date,title,distance,finished,canceled
79039,Crayford,2022-03-02 10:53:00,Race 1,380m,1,0
79040,Crayford,2022-03-02 11:09:00,Race 2,380m,1,0
79041,Crayford,2022-03-02 11:24:00,Race 3,380m,1,0
79042,Crayford,2022-03-02 11:39:00,Race 4,380m,1,0
79043,Crayford,2022-03-02 11:54:00,Race 5,380m,1,0
79044,Crayford,2022-03-02 12:09:00,Race 6,380m,1,0
79045,Crayford,2022-03-02 12:24:00,Race 7,380m,1,0
79046,Crayford,2022-03-02 12:39:00,Race 8,380m,1,0
79047,Crayford,2022-03-02 12:54:00,Race 9,540m,1,0
79048,Crayford,2022-03-02 13:09:00,Race 10,380m,1,0
79049,Crayford,2022-03-02 13:24:00,Race 11,380m,1,0
79050,Crayford,2022-03-02 13:39:00,Race 12,380m,1,0
79027,Harlow,2022-03-02 10:46:00,Race 1,238m,1,0
79028,Harlow,2022-03-02 11:01:00,Race 2,415m,1,0
79029,Harlow,2022-03-02 11:16:00,Race 3,238m,1,0
79030,Harlow,2022-03-02 11:31:00,Race 4,415m,1,0
79031,Harlow,2022-03-02 11:46:00,Race 5,415m,1,0
79032,Harlow,2022-03-02 12:01:00,Race 6,238m,1,0
79033,Harlow,2022-03-02 12:16:00,Race 7,415m,1,0
79034,Harlow,2022-03-02 12:31:00,Race 8,238m,1,0
79035,Harlow,2022-03-02 12:46:00,Race 9,415m,1,0
79036,Harlow,2022-03-02 13:02:00,Race 10,415m,1,0
79037,Harlow,2022-03-02 13:17:00,Race 11,238m,1,0
79038,Harlow,2022-03-02 13:33:00,Race 12,415m,1,0
79065,Hove,2022-03-02 13:57:00,Race 1,500m,1,0
79066,Hove,2022-03-02 14:12:00,Race 2,500m,1,0
79067,Hove,2022-03-02 14:32:00,Race 3,500m,1,0
79068,Hove,2022-03-02 14:52:00,Race 4,500m,1,0
79051,Monmore,2022-03-02 13:49:00,Race 1,480m,1,0
79052,Monmore,2022-03-02 14:07:00,Race 2,264m,1,0
79053,Monmore,2022-03-02 14:23:00,Race 3,480m,1,0
79054,Monmore,2022-03-02 14:42:00,Race 4,264m,1,0
79055,Monmore,2022-03-02 15:02:00,Race 5,480m,1,0
78991,Newcastle,2022-03-02 14:04:00,Race 1,480m,1,0
78992,Newcastle,2022-03-02 14:19:00,Race 2,480m,1,0
78993,Newcastle,2022-03-02 14:36:00,Race 3,480m,1,0
78994,Newcastle,2022-03-02 14:54:00,Race 4,480m,1,0
78995,Newcastle,2022-03-02 15:09:00,Race 5,640m,1,0
78981,Nottingham,2022-03-02 11:36:00,Race 1,500m,1,0
78982,Nottingham,2022-03-02 11:51:00,Race 2,500m,1,0
78983,Nottingham,2022-03-02 12:06:00,Race 3,500m,1,0
78984,Nottingham,2022-03-02 12:21:00,Race 4,500m,1,0
78985,Nottingham,2022-03-02 12:36:00,Race 5,500m,1,0
78986,Nottingham,2022-03-02 12:51:00,Race 6,500m,1,0
78987,Nottingham,2022-03-02 13:06:00,Race 7,500m,1,0
78988,Nottingham,2022-03-02 13:21:00,Race 8,500m,1,0
78989,Nottingham,2022-03-02 13:36:00,Race 9,500m,1,0
78990,Nottingham,2022-03-02 13:51:00,Race 10,500m,1,0
78969,Swindon,2022-03-02 11:13:00,Race 1,476m,1,0
78970,Swindon,2022-03-02 11:28:00,Race 2,476m,1,0
78971,Swindon,2022-03-02 11:43:00,Race 3,476m,1,0
78972,Swindon,2022-03-02 11:58:00,Race 4,262m,1,0
78973,Swindon,2022-03-02 12:13:00,Race 5,476m,1,0
78975,Swindon,2022-03-02 12:43:00,Race 7,476m,1,0
78976,Swindon,2022-03-02 12:58:00,Race 8,476m,1,0
78977,Swindon,2022-03-02 13:13:00,Race 9,476m,1,0
78978,Swindon,2022-03-02 13:28:00,Race 10,476m,1,0
78979,Swindon,2022-03-02 13:44:00,Race 11,476m,1,0
78980,Swindon,2022-03-02 13:59:00,Race 12,476m,1,0
